Date,Cumulative_cases,Recovered_cases,Total_death,Patient_under_treatment,New_case_per_day,Recovered-cases_perDay,Death_cases_perDay,Treatment_cases_perDay
2020-03-02,2,,,2,2,,,2
2020-03-03,2,,,2,2,,,2
2020-03-04,2,,,2,2,,,2
2020-03-05,2,,,2,2,,,2
2020-03-06,4,,,4,2,,,2
2020-03-07,4,,,4,2,,,2
2020-03-08,6,,,6,2,,,2
2020-03-09,19,,,19,13,,,13
2020-03-10,27,2,,25,8,2,,6
2020-03-11,34,2,1,31,7,2,1,6
2020-03-12,34,2,1,31,7,2,1,6
2020-03-13,69,2,4,63,35,2,3,32
2020-03-14,96,8,5,83,27,6,1,20
2020-03-15,117,8,5,104,21,6,1,21
2020-03-16,134,8,5,121,17,6,1,17
2020-03-17,172,9,5,158,38,1,1,37
2020-03-18,227,11,19,197,55,2,14,39
2020-03-19,309,15,25,269,82,4,6,72
2020-03-20,369,17,32,320,60,2,7,51
2020-03-21,450,20,38,392,81,3,6,72
2020-03-22,514,29,48,437,64,9,10,45
2020-03-23,579,30,49,500,65,1,1,63
2020-03-24,686,30,55,601,106,1,6,101
2020-03-25,790,31,58,701,105,1,3,100
2020-03-26,893,35,78,780,103,4,20,79
2020-03-27,1046,46,87,913,153,11,9,133
2020-03-28,1155,59,102,994,109,13,15,81
2020-03-29,1285,64,114,1107,130,5,12,113
2020-03-30,1414,75,122,1217,129,11,8,110
2020-03-31,1528,81,136,1311,114,6,14,94
2020-04-01,1677,103,157,1417,149,22,21,106
2020-04-02,1790,112,170,1508,113,9,13,91
2020-04-03,1986,134,181,1671,196,22,11,163
2020-04-04,2092,150,191,1751,106,16,10,80
2020-04-05,2273,164,198,1911,181,14,7,160
2020-04-06,2491,192,209,2090,218,28,11,179
2020-04-07,2738,204,221,2313,247,12,12,223
2020-04-08,2956,222,240,2494,218,18,19,181
2020-04-09,3293,252,280,2761,337,30,40,267
2020-04-10,3512,282,306,2924,219,30,26,163
2020-04-11,3842,286,327,3229,330,4,21,305
2020-04-12,4241,359,373,3509,399,73,46,280
2020-04-13,4557,380,399,3778,316,21,26,269
2020-04-14,4839,426,459,3954,282,46,60,176
2020-04-15,5136,446,469,4221,297,20,10,267
2020-04-16,5516,548,496,4472,380,102,27,251
2020-04-17,5923,607,520,4796,407,59,24,324
2020-04-18,6248,631,535,5082,325,24,15,286
2020-04-19,6575,686,582,5307,327,55,47,225
2020-04-20,6760,747,590,5423,185,61,8,116
2020-04-21,7135,842,616,5677,375,95,26,254
2020-04-22,7418,913,635,5870,283,71,19,193
2020-04-23,7775,960,647,6168,357,47,12,298
2020-04-24,8211,1002,689,6520,436,42,42,352
2020-04-25,8607,1042,720,6845,396,40,31,325
2020-04-26,8882,1107,743,7032,275,65,23,187
2020-04-27,9096,1151,765,7180,214,44,22,148
2020-04-28,9511,1254,773,7484,415,103,8,304
2020-04-29,9771,1391,784,7596,260,137,11,112
2020-04-30,10118,1522,792,7804,347,131,8,208
2020-05-01,10551,1591,800,8160,433,69,8,356
2020-05-02,10843,1665,831,8347,292,74,31,187
2020-05-03,11192,1876,845,8471,349,211,14,124
2020-05-04,11587,1954,864,8769,395,78,19,298
2020-05-05,12071,2197,872,9002,484,243,8,233
2020-05-06,12438,2317,895,9226,367,120,23,224
2020-05-07,12776,2381,930,9465,338,64,35,239
2020-05-08,13112,2494,943,9675,336,113,13,210
2020-05-09,13645,2607,959,10079,533,113,16,404
2020-05-10,14032,2698,973,10361,387,91,14,282
2020-05-11,14265,2881,991,10393,233,183,18,32
2020-05-12,14749,3063,1007,10679,484,182,16,286
2020-05-13,15438,3287,1028,11123,689,224,21,444
2020-05-14,16006,3518,1043,11445,568,231,15,322
